id	description	en	local
		DISABLED	DESATIVADO
		X PLANE	X AVIÃO
		Y PLANE	Y PLANE
		Z PLANE	Z AVIÃO
		none set	nenhum set
		Fast-travel Location	Fast-Local de viagem
		CLICK TO TRAVEL HERE	CLIQUE AQUI PARA VIAGENS
		Island for sale	Ilha à venda
		You are here	Você está aqui
		CLICK TO TAKE TO WORKBENCH	CLIQUE PARA TOMAR PARA BANCADA
		Waypoint	Parada
		Fuel Location	combustível Localização
		exit bed	cama de saída
		change view	vista a mudança
		Infinite	Infinito
		Are you sure you want to purchase this property?	Tem certeza de que quer comprar essa propriedade?
		You cannot afford to purchase this property at the moment	Você não pode ter recursos para comprar esta propriedade no momento
		FAST TRAVEL	VIAGEM RÁPIDA
		Are you sure you want to travel to this location?	Tem certeza de que quer viajar para este local?
		Cancel	Cancelar
		Confirm	confirme
		TAKE TO WORKBENCH	TOMAR PARA BANCADA
		Are you sure you want to take this vehicle back to the workbench?	Tem certeza de que quer tomar isso de volta do veículo para a bancada?
		Are you sure you want to spawn this mission?	Tem certeza de que quer gerar esta missão?
		Only missions available on the server are possible to spawn.	Somente missões disponíveis no servidor são possíveis para desovar.
		SPAWN MISSION	SPAWN MISSÃO
		REMOVE MISSION	MISSÃO REMOVE
		BEGIN RESEARCH	começar a pesquisa
		Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.	Tem certeza de que quer começar a pesquisar ###? \ N \ nEste vai gastar alguns de seus Pontos de Pesquisa e não pode ser cancelado.
		Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)	Tem certeza de que deseja remover esta missão? \ N \ nIsto irá causar todos os objetos gerados e veículos criados por esta missão de ser removido do mundo. \ N \ n (Você pode reaparecer esta missão a partir do seletor de missão)
		Map	Mapa
		Missions	missões
		Research	Pesquisa
		No missions available. Sleep in a bed to fast-forward, or click the (+) button to manually spawn a mission.	Não há missões disponíveis. Dormir em uma cama para fast-forward, ou clique no botão (+) para desovar manualmente uma missão.
		show controls	Mostrar controles
		hide controls	ocultar controles
		No Active Mission	Sem o Active Mission
		Recommended difficulty for new players. No vehicle or character damage. No advanced vehicle mechanics.	dificuldade recomendado para novos jogadores. Nenhum veículo ou personagem danos. Não mecânica de veículos avançados.
		Survival difficulty. Advanced vehicle mechanics. Transmission pipes. Injuries and death. No starting vehicles.	dificuldade de sobrevivência. mecânica de veículos avançados. tubos de transmissão. Lesões e morte. Sem começando veículos.
		Survival difficulty with reduced starting money, locked to first person view, no fast travel or vehicle teleporting, limited fuel.	dificuldade de sobrevivência com reduzida dinheiro inicial, trancou a visão em primeira pessoa, não viajar rápido ou veículo teletransporte, combustível limitado.
		Hardcore mode with permadeath (save file will be deleted upon death).	modo Hardcore com permadeath (Salvar arquivo será excluído após a morte).
		Custom difficulty settings.	níveis de dificuldade personalizado.
		Creative mode. A sandbox environment with all components unlocked and unlimited resources available.	Modo criativo. Um ambiente sandbox com todos os componentes desbloqueado e recursos ilimitados disponível.
		Career mode. Expand your coastguard empire. Complete missions to unlock components and money.	modo de carreira. Expandir seu império guarda costeira. Completar missões para componentes de desbloqueio e dinheiro.
		Custom game mode settings.	configurações do modo de jogo personalizado.
		PLEASE CHOOSE ANOTHER KEY	Escolha outra CHAVE
		PRESS CONTROLLER BUTTON TO REBIND TO	PRESS CONTROLADOR botão para REBIND TO
		PRESS KEY/MOUSE TO REBIND TO	PRESS CHAVE / mouse para REBIND TO
		GRAPHICS	GRÁFICOS
		QUALITY	QUALIDADE
		Window Mode	Modo janela
		Resolution	Resolução
		Antialiasing Mode	Modo de Antialiasing
		VSync	VSync
		View Distance	Alcance de Visão
		Meters	Metros
		Motion Blur	Blur
		Ocean Reflections	Reflexos do Mar
		Bloom	Efeito Bloom
		Wildlife	Vida Selvagem
		Shadow Quality	Qualidade da sombra
		Shadow Resolution	Resoluçao das Sombras
		Light Volume Quality	Qualidade de Iluminaçao
		SSAO	SSAO
		SSAO Quality	Qualidade SSAO
		Vehicle Foam	Espuma no veículo 
		Ocean Foam	Espuma no Mar
		Ocean Plants	Plantas no Mar
		Tree Quality	Qualidade das árvores
		Monitor Quality	Qualidade do monitor
		FOV	FOV
		First Person	Primeira pessoa
		degrees	graus
		First Person Vehicle	 Veículo em Primeira pessoa
		Third Person	Terceira pessoa
		Windowed	Janela
		Fullscreen	Tela cheia
		None	Nenhum
		FXAA	FXAA
		TAA	TAA
		Disabled	Desativado
		Enabled	Ativado
		Low	Baixo
		Medium	Médio
		High	Alto
		Ultra	Ultra
		AUDIO	ÁUDIO
		VOLUME	VOLUME
		Master	Geral
		Sounds	Sons
		Environment	Meio Ambiente
		Music	Música
		CONTROLS	Controle
		MOUSE	Mouse 
		Invert Y	Inverter Y
		Invert X	Inverter X
		Sensitivity	Sensibilidade
		Aspect	Aspecto
		Smoothing	Suavização
		Vehicle Camera Mode	Modo Câmara de veículo
		Fixed Yaw	Guinada fixa
		Fixed	Fixo
		Free	Livre
		GENERAL	GERAL
		HUD	HUD
		Objectives	Objetivos
		Clock	Relógio
		Minimap	Minimap
		Player Names	Nomes dos Jogadores
		Data Labels	Rótulos de dados
		Show	Mostrar
		Hide	Ocultar
		Graphics	Gráficos
		Audio	Áudio
		Controls	Controles
		General	Geral
		Language	Idioma
		AVAILABLE LANGUAGES	IDIOMAS DISPONÍVEIS
		LANGUAGE	LÍNGUA
		Language settings can only be changed from the main menu.	configurações de idioma só pode ser alterado a partir do menu principal.
		New Translation	Nova Tradução
		NEW TRANSLATION	NOVA TRADUÇÃO
		Language name	Nome do idioma
		One or more translations are incomplete	Uma ou mais traduções estão incompletos
		Official	Oficial
		Workshop	Oficina
		CHANGE LANGUAGE	MUDAR IDIOMA
		UPLOAD TRANSLATION	UPLOAD DE TRADUÇÃO
		UPDATE TRANSLATION	ATUALIZAR TRADUÇÃO
		Upload Translation	Carregar Tradução
		Update Translation	atualIzar Tradução
		Are you sure you want to upload this translation to the Steam Workshop?	Tem certeza que você deseja enviar esta tradução à Steam Workshop
		Are you sure you want to update this translation on the Steam Workshop?\n\nAny players who have subscribed to your translation will receive your changes.	Tem certeza de que deseja atualizar esta tradução no Steam Workshop? \ N jogadores \ Nany que subscreveram a sua tradução receberá as alterações.
		You must provide a full translation in order to upload to the Steam workshop.	Você deve fornecer uma tradução completa, a fim de fazer o upload para o workshop Steam.
		Are you sure you want to change your selected language? This may take a few seconds.	Tem certeza de que deseja alterar o idioma selecionado? Isso pode demorar alguns segundos.
		(settings must be saved for some changes to take effect)	(as configurações devem ser salvas para que algumas alterações tenham efeito)
		Your translation has failed to upload to the Steam workshop.	Sua tradução não foi capaz de fazer o upload para o workshop Steam.
		Your translation was successfully uploaded to the Steam workshop.	Sua tradução foi enviada com sucesso para a oficina Steam.
		TRANSLATION UPLOAD COMPLETE	TRADUÇÃO UPLOAD COMPLETE
		Back	De volta
		Apply/Save	Aplicar / Save
		Reset	Redefinir
		RESET TO DEFAULTS	Redefinir padrões
		Are you sure you want to reset to defaults?	Tem certeza de que deseja redefinir para os padrões?
		CLEAR BINDING	claras e vinculativas,
		Are you sure you want to clear this binding?	Tem certeza de que deseja apagar essa ligação?
		The resolution in the persistent graphics settings is not available. Defaulting to the current resolution.	A resolução nas configurações gráficas persistentes não está disponível. Falta para a resolução atual.
		Are you sure you want to clear the binding for ###?	Tem certeza de que deseja apagar a ligação para ###?
		Are you sure you want to reset your graphics settings to their defaults?	Tem certeza de que deseja redefinir suas configurações gráficas para seus padrões?
		Are you sure you want to reset your audio settings to their defaults?	Tem certeza de que deseja redefinir as configurações de áudio para seus padrões?
		Are you sure you want to reset your controls settings to their defaults?	Tem certeza de que deseja redefinir suas configurações de controles para seus padrões?
		Are you sure you want to reset your general settings to their defaults?	Tem certeza de que deseja redefinir as configurações gerais para seus padrões?
		Are you sure you want to reset your language settings to their defaults? This may take a few seconds.	Tem certeza de que deseja redefinir as configurações de idioma para seus padrões? Isso pode demorar alguns segundos.
		Report a Bug	Reportar um erro
		Suggest a Feature	Sugira um recurso
		Join us on Discord	Junte-se a Discórdia
		Steam Workshop	Oficina Steam
		Continue	Continuar
		Load Game	Carregar jogo
		Multiplayer	Multiplayer
		Benchmark	referência
		Settings	Configurações
		Quit	Sair
		Stormworks' multiplayer is currently in an early alpha stage of testing. It will contain bugs and is not yet feature complete.	vários jogadores Stormworks é actualmente numa fase de alfa início do teste. Ele irá conter bugs e ainda não é completo de recursos.
		Server Name	Nome do servidor
		Join	Junte-se
		Internet	Internet
		Join another player's server. Games hosted by your Steam friends are listed below. You can also join a Steam friend by clicking them in your friends list and choosing 'Join Game'.	Junte servidor de outro jogador. Jogos hospedados por seus amigos de Steam estão listados abaixo. Você também pode participar de um amigo Steam, clicando-los em sua lista de amigos e escolha 'Join Game'.
		Join a Dedicated server run through Steam. Dedicated servers found by Valve's API will show up here.	Junte-se a um servidor dedicado executado através do Steam. servidores dedicados encontrado por API da Valve vai aparecer aqui.
		Friends	Amigos
		Refresh List	Atualizar lista
		Host a server that your Steam friends can join. Up to 32 friends will be able to join you.	Hospedar um servidor que seus amigos Steam podem entrar. Até 32 amigos será capaz de acompanhá-lo.
		Requires Password	requer senha
		Password	Senha
		Max Players	Máximo de jogadores
		Host	Hospedeiro
		Submit	Enviar
		CHOOSE BASE	ESCOLHA BASE
		DELETE SAVE	EXCLUIR SALVAR
		Are you sure you want to delete this game?	Tem certeza de que deseja excluir este jogo?
		COMPONENT STOCK	STOCK COMPONENTE
		BLUEPRINT UNLOCK	DESBLOQUEAR BLUEPRINT
		CASH REWARD	RECOMPENSA EM DINHEIRO
		RESEARCH POINTS	PONTOS DE INVESTIGAÇÃO
		Mission Failed	Missão fracassada
		Mission Complete	Missão completa
		Remove Mission	Remover Mission
		Toggle Active	Alternar Ativo
		MISSIONS	MISSÕES
		Mission Selector	Selector missão
		No missions	não há missões
		Official	Oficial
		Saved	Salvou
		Workshop	Oficina
		Your saved mission playlists.	Suas listas de reprodução missão salvos.
		Mission playlists you've subscribed to on the Steam Workshop.	Missão playlists que você subscrito no Steam Workshop.
		Official mission playlists created by the Stormworks Devs.	playlists missão oficial criados pelos Stormworks Devs.
		no objectives	sem objectivos
		1 objective	1 objetivo
		requirements	requisitos
		UPLOAD NEW PLAYLIST	UPLOAD nova lista de reprodução
		Share your mission playlist with other players on the Steam Workshop.	Partilhe a sua lista de reprodução missão com outros jogadores no Steam Workshop.
		Mission Playlist	missão Playlist
		OVERWRITE EXISTING PLAYLIST	PLAYLIST substituir existente
		Overwrite your mission playlist and publish your changes to the Steam Workshop.	Sobrescrever sua lista de reprodução missão e publicar suas alterações no Steam Workshop.
		Loading...	Carregando...
		EXIT	SAÍDA
		Exit the editor.	Saia do editor.
		NEW	NOVO
		Create a new mission playlist.	Criar uma nova lista missão.
		LOAD	CARGA
		Load a saved mission playlist.	Carregar uma lista de reprodução missão salvo.
		SAVE	SALVE 
		Save the currently edited mission playlist.	Guardar a lista missão atualmente editado.
		PLAYLIST OVERVIEW	PLAYLIST PANORAMA
		View the currently edited playlist.	Ver a lista actualmente editado.
		LOCATION EDITOR	LOCALIZAÇÃO EDITOR
		Edit the current playlist's locations.	Editar locais da lista de reprodução atual.
		View the currently edited mission.	Ver a missão atualmente editado.
		ADD CHARACTER	PERSONAGEM ADD
		You can customise outfits and whether this character is a survivor or NPC in the properties window. Survivors will follow you and can be picked up, but NPCs can not be interacted with.	Você pode customizar roupas e se esse personagem é um sobrevivente ou NPC na janela de propriedades. Sobreviventes irão segui-lo e pode ser pego, mas NPCs não podem ser interagiu com.
